"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"9631","20101108X91241",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Attain/maintain not possible "
"9632","20101108X91241",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9633","20101108X91241",2010,10,"Personnel issues","Task performance","Maintenance","Scheduled/routine maintenance","Maintenance personnel "
"9634","20101108X91241",2010,10,"Personnel issues","Action/decision","Action","Forgotten action/omission","Pilot "
"9635","20101108X91810",2010,11,"Personnel issues","Task performance","Planning/preparation","Fuel planning","Pilot "
"9636","20101108X91810",2010,11,"Aircraft","Fluids/misc hardware","Fluids","Fuel","Fluid level "
"9637","20101109X00102",2010,11,"Aircraft","Aircraft systems","Landing gear system","Brake","Unintentional use/operation "
"9638","20101109X00102",2010,11,"Personnel issues","Action/decision","Action","(general)","Pilot "
"9639","20101109X12401",2010,11,"Personnel issues","Task performance","Inspection","Post maintenance inspection","Maintenance personnel "
"9640","20101109X12401",2010,11,"Aircraft","Aircraft handling/service","Maintenance/inspections","Return to service","Inadequate inspection "
"9641","20101110X11702",2010,10,"Aircraft","Fluids/misc hardware","Fluids","Fuel","Fluid level "
"9642","20101110X21415",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Landing flare","Incorrect use/operation "
"9643","20101110X21415",2010,10,"Personnel issues","Action/decision","Action","Delayed action","Instructor/check pilot "
"9644","20101110X21415",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9645","20101110X44157",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Crosswind","Not specified "
"9646","20101110X44157",2010,11,"Personnel issues","Action/decision","Action","Incomplete action","Pilot "
"9647","20101110X44157",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Gusts","Not specified "
"9648","20101110X44157",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9649","20101110X55356",2010,11,"Environmental issues","Physical environment","Terrain","Mountainous/hilly terrain","Awareness of condition "
"9650","20101110X55356",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Downdraft","Effect on operation "
"9651","20101110X55356",2010,11,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9652","20101110X62153",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9653","20101110X62153",2010,11,"Environmental issues","Conditions/weather/phenomena","Turbulence","(general)","Effect on operation "
"9654","20101110X62153",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9655","20101110X74656",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9656","20101110X95242",2010,11,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9657","20101110X95242",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9658","20101110X95242",2010,11,"Personnel issues","Physical","Impairment/incapacitation","Neurological","Pilot "
"9659","20101111X83751",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9660","20101111X83751",2010,11,"Personnel issues","Action/decision","Action","Lack of action","Instructor/check pilot "
"9661","20101111X83751",2010,11,"Personnel issues","Action/decision","Action","Lack of action","Pilot "
"9662","20101111X83751",2010,11,"Aircraft","Fluids/misc hardware","Fluids","Fuel","Incorrect use/operation "
"9663","20101111X83751",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Instructor/check pilot "
