"","ev_id","ev_year","ev_month","ev_country","ev_state","ev_state_code","ev_city","latitude","longitude"
"205","20081009X70534",2008,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"206","20001212X22101",2000,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"207","20020703X01043",2002,6,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"208","20100914X32027",2010,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"209","20011217X02401",2001,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"210","20110921X93314",2011,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"211","20130308X62710",2013,3,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"212","20041123X01857",2004,11,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"213","20021010X05307",2002,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"214","20071009X01537",2007,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"215","20021025X05384",2002,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"216","20081009X70534",2008,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"217","20010608X01113",2001,4,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"218","20130828X41517",2013,8,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"219","20130508X32011",2013,5,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"220","20080118X00074",2008,1,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"221","20010221X00479",2001,1,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"222","20011106X02202",2001,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"223","20080116X00058",2007,12,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"224","20120906X93849",2012,8,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"225","20110617X84305",2011,6,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"226","20150601X02726",2015,5,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"227","20150922X63000",2015,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"228","20100119X00231",2010,1,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"229","20020228X00285",2002,2,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"230","20030814X01333",2003,8,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"231","20090831X64557",2009,8,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"232","20031106X01871",2003,11,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"233","20070816X01195",2007,8,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"234","20050204X00133",2004,12,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"235","20090211X65410",2009,2,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"236","20120504X62009",2012,5,"USA","ALASKA                        ","AK","Chefornak",60.143735,-164.25283
"237","20080326X00386",2008,2,"USA","ALASKA                        ","AK","Chefornak",60.143735,-164.25283
"238","20041207X01931",2004,10,"USA","ALASKA                        ","AK","Chefornak",60.143735,-164.25283
"239","20010509X00915",2001,5,"USA","ALASKA                        ","AK","Chefornak",60.143735,-164.25283
"240","20021212X05599",2002,12,"USA","ALASKA                        ","AK","Chefornak",60.143735,-164.25283
"241","20020712X01117",2002,6,"USA","ALASKA                        ","AK","Chevak",61.527953,-165.57029
"242","20100319X54736",2010,3,"USA","ALASKA                        ","AK","Chevak",61.527953,-165.57029
"243","20140612X30848",2014,6,"USA","ALASKA                        ","AK","Chitina",61.555701,-144.14233
"244","20050721X01073",2005,7,"USA","ALASKA                        ","AK","Chitina",61.555701,-144.14233
"245","20010712X01410",2001,7,"USA","ALASKA                        ","AK","Chitina",61.555701,-144.14233
"246","20160721X15056",2016,7,"USA","ALASKA                        ","AK","Chitina",61.555701,-144.14233
"247","20081008X82640",2008,10,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"248","20010829X01811",2001,8,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"249","20100601X31027",2010,5,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"250","20120612X45315",2012,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"251","20090825X05726",2009,8,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"252","20160421X93349",2016,4,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"253","20160813X90947",2016,8,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"254","20020808X01350",2002,7,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"255","20070322X00322",2007,3,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"256","20090429X91658",2009,4,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"257","20080327X00391",2008,3,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"258","20170503X85252",2017,4,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"259","20020702X01039",2002,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"260","20040318X00333",2004,3,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"261","20150807X84646",2015,8,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"262","20040706X00909",2004,7,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"263","20170607X64827",2017,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"264","20010928X02002",2001,9,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"265","20120705X92337",2012,7,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"266","20160622X85638",2016,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"267","20001208X08047",1997,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"268","20080707X00980",2008,6,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"269","20080528X00743",2008,5,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"270","20060906X01301",2006,8,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"271","20110528X21434",2011,5,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"272","20031210X02016",2003,12,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"273","20100525X15324",2010,5,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"274","20021107X05448",2002,11,"USA","ALASKA                        ","AK","Chugiak",61.413717,-149.42644
"275","20010830X01837",2001,7,"USA","ALASKA                        ","AK","Clam Gulch",60.23458,-151.3934
"276","20110614X25149",2011,6,"USA","ALASKA                        ","AK","Cold Bay",55.315003,-162.634
"277","20040610X00783",2004,5,"USA","ALASKA                        ","AK","Cold Bay",55.315003,-162.634
"278","20110421X15324",2011,4,"USA","ALASKA                        ","AK","Cold Bay",55.315003,-162.634
"279","20150727X90643",2015,7,"USA","ALASKA                        ","AK","Cold Bay",55.315003,-162.634
"280","20081024X25909",2008,9,"USA","ALASKA                        ","AK","Cooper Landing",60.484146,-149.78153
"281","20071015X01586",2007,9,"USA","ALASKA                        ","AK","Cooper Landing",60.484146,-149.78153
"282","20100629X35556",2010,6,"USA","ALASKA                        ","AK","Cooper Landing",60.484146,-149.78153
"283","20140430X25934",2014,4,"USA","ALASKA                        ","AK","Cooper Landing",60.484146,-149.78153
"284","20060705X00873",2006,6,"USA","ALASKA                        ","AK","Cooper Landing",60.484146,-149.78153
"285","20020820X01432",2002,8,"USA","ALASKA                        ","AK","Copper Center",61.832347,-145.2308
"286","20040419X00478",2004,4,"USA","ALASKA                        ","AK","Copper Center",61.832347,-145.2308
"287","20050512X00599",2005,5,"USA","ALASKA                        ","AK","Cordova",60.474512,-145.40256
"288","20110830X45215",2011,8,"USA","ALASKA                        ","AK","Cordova",60.474512,-145.40256
